"Date","Price","Volume","Market_cap"
"2024-08-19 00:00:00 UTC+0","144.27525279","1408896335.773956","67277886302.69855000"
"2024-08-18 00:00:00 UTC+0","143.26263902","1241232352.482055","66806207625.35490400"
"2024-08-17 00:00:00 UTC+0","141.77902156","804612781.806396","66098189198.24407000"
"2024-08-16 00:00:00 UTC+0","139.13783322","1834575900.840969","64857566327.34627000"
"2024-08-15 00:00:00 UTC+0","142.93639751","2083551892.939829","66619905126.44060000"
"2024-08-14 00:00:00 UTC+0","143.82971679","1821028433.508405","67144948523.01403000"
"2024-08-13 00:00:00 UTC+0","146.64826988","1528102615.796590","68461822081.14982600"
"2024-08-12 00:00:00 UTC+0","146.12938430","2299140587.673144","68202869803.10213500"
"2024-08-11 00:00:00 UTC+0","141.58875551","1560941989.752580","66084751324.96282000"
"2024-08-10 00:00:00 UTC+0","153.99431015","1125189256.212970","71829773878.01057000"
"2024-08-09 00:00:00 UTC+0","156.37061366","2190514977.628441","72939626369.51390000"
"2024-08-08 00:00:00 UTC+0","162.42850639","3871515740.822414","75747124154.65874000"
"2024-08-07 00:00:00 UTC+0","144.37808598","3827240850.646237","67330585421.36834000"
"2024-08-06 00:00:00 UTC+0","144.05037990","4160587325.769790","67081437426.12086500"
"2024-08-05 00:00:00 UTC+0","130.06897112","10579804294.990639","60558588043.62853000"
"2024-08-04 00:00:00 UTC+0","137.84368475","3065252887.031545","64162774790.15771000"
"2024-08-03 00:00:00 UTC+0","143.07990219","2518790580.654389","66587131233.50680500"
"2024-08-02 00:00:00 UTC+0","152.68026757","3163665592.628192","71035761793.27356000"
"2024-08-01 00:00:00 UTC+0","167.31260771","3201299503.990974","77844493411.85675000"
"2024-07-31 00:00:00 UTC+0","171.92909985","2092605743.364450","79967203808.19348000"
"2024-07-30 00:00:00 UTC+0","178.92040446","1938444590.391685","83165863569.45247000"
"2024-07-29 00:00:00 UTC+0","182.86045497","2577822465.666695","84998370454.25108000"
"2024-07-28 00:00:00 UTC+0","184.86231831","1287325558.411032","85907751907.21748000"
"2024-07-27 00:00:00 UTC+0","184.50960150","2476615843.647410","85746073145.00565000"
"2024-07-26 00:00:00 UTC+0","183.09099926","2069726357.288709","85065669929.62904000"
"2024-07-25 00:00:00 UTC+0","171.99368957","2960013371.326006","79910725929.90130000"
"2024-07-24 00:00:00 UTC+0","177.97993930","2207553056.132425","82671809721.20345000"
"2024-07-23 00:00:00 UTC+0","172.64755548","2221280787.198657","80195778015.95290000"
"2024-07-22 00:00:00 UTC+0","178.98156637","1894545861.889499","83137741288.52687000"
"2024-07-21 00:00:00 UTC+0","184.38141696","2298237249.391449","85615668862.31510000"
"2024-07-20 00:00:00 UTC+0","173.86686788","1313459729.137517","80734623991.03664000"
"2024-07-19 00:00:00 UTC+0","169.23056907","2584869091.278850","78568246717.91986000"
"2024-07-18 00:00:00 UTC+0","159.23776806","1412749319.760376","73929623053.58720000"
"2024-07-17 00:00:00 UTC+0","155.51710011","1485176257.732347","72184479984.75516000"
"2024-07-16 00:00:00 UTC+0","160.65106768","2100774598.309981","74570682369.42097000"
"2024-07-15 00:00:00 UTC+0","159.70621335","1841961648.948467","74114517717.37850000"
"2024-07-14 00:00:00 UTC+0","147.95105425","1358660033.532162","68657997446.01784000"
"2024-07-13 00:00:00 UTC+0","142.07819422","762144538.006218","65933807341.10477000"
"2024-07-12 00:00:00 UTC+0","139.58144826","1334818972.976536","64759162625.89331000"
"2024-07-11 00:00:00 UTC+0","135.85730618","1499727476.386254","63032238537.85750600"
"2024-07-10 00:00:00 UTC+0","142.20707964","1312852932.650907","65937056342.10641000"
"2024-07-09 00:00:00 UTC+0","141.49473209","1641989142.514404","65605283770.91534400"
"2024-07-08 00:00:00 UTC+0","139.36138405","2522304740.643279","64599487889.13471000"
"2024-07-07 00:00:00 UTC+0","131.83021410","1061082063.947117","61109193147.13989000"
"2024-07-06 00:00:00 UTC+0","142.97023748","1269097905.690182","66194854353.70789000"
"2024-07-05 00:00:00 UTC+0","134.33566889","3067226350.870357","62181605882.89955000"
"2024-07-04 00:00:00 UTC+0","127.66505311","2043402617.204149","59094230631.41794000"
"2024-07-03 00:00:00 UTC+0","140.62542075","1764020064.005965","65077101644.50876000"
"2024-07-02 00:00:00 UTC+0","153.58958457","1353342662.946621","71077547663.11790000"
"2024-07-01 00:00:00 UTC+0","146.56787460","1173957125.783024","67811610451.84925000"
"2024-06-30 00:00:00 UTC+0","146.34264864","1047772699.905095","67684871306.30229000"
"2024-06-29 00:00:00 UTC+0","139.88626631","736523068.295371","64694018124.83117000"
"2024-06-28 00:00:00 UTC+0","139.68347748","1505637845.276661","64581959997.92018000"
"2024-06-27 00:00:00 UTC+0","149.37002941","1894417291.528767","69061661073.81290000"
"2024-06-26 00:00:00 UTC+0","136.59473197","1137427652.014187","63139907509.57033000"
"2024-06-25 00:00:00 UTC+0","136.48820363","1771890910.346506","63091808259.73177000"
"2024-06-24 00:00:00 UTC+0","132.21349730","2448198776.777154","61100546598.00524000"
"2024-06-23 00:00:00 UTC+0","128.46923934","700967179.134561","59370902930.49197000"
"2024-06-22 00:00:00 UTC+0","133.45270227","626772423.335208","61655137875.78742000"
"2024-06-21 00:00:00 UTC+0","134.57509128","1532812075.784298","62174330193.48273000"
"2024-06-20 00:00:00 UTC+0","133.56252318","1538981748.351166","61707749285.11559000"
"2024-06-19 00:00:00 UTC+0","135.67009819","1470861712.446083","62665974552.63337000"
"2024-06-18 00:00:00 UTC+0","137.16062279","2753649513.876798","63355512501.53155500"
"2024-06-17 00:00:00 UTC+0","143.27444968","1470652073.098830","66163518055.81388000"
"2024-06-16 00:00:00 UTC+0","151.12560888","760202577.775234","69790928957.60513000"
"2024-06-15 00:00:00 UTC+0","145.40643926","692578655.556509","67132963591.36273000"
"2024-06-14 00:00:00 UTC+0","143.10442322","1550241733.656325","66068265487.76733400"
"2024-06-13 00:00:00 UTC+0","147.23594268","1353989486.713527","67955400800.08501400"
"2024-06-12 00:00:00 UTC+0","154.89104314","1908352593.719905","71489910712.88799000"
"2024-06-11 00:00:00 UTC+0","149.40711494","1842908220.922926","68886969000.02270000"
"2024-06-10 00:00:00 UTC+0","158.77226633","989897197.080776","73158676896.17358000"
"2024-06-09 00:00:00 UTC+0","162.01017211","784499417.791263","74652438536.81973000"
"2024-06-08 00:00:00 UTC+0","158.11455800","922534368.811226","72822208778.65623000"
"2024-06-07 00:00:00 UTC+0","162.50819053","1775537110.885934","74847567444.27860000"
"2024-06-06 00:00:00 UTC+0","170.06262104","1062710490.868434","78213620211.86697000"
"2024-06-05 00:00:00 UTC+0","173.43343313","1299488350.102172","79765621436.20680000"
"2024-06-04 00:00:00 UTC+0","171.56299048","1138255002.413299","78885512735.43173000"
