"Date","Price","Volume","Market_cap"
"2024-05-25 00:00:00 UTC+0","0.54186047","258761212.621139","30035583903.96607600"
"2024-05-24 00:00:00 UTC+0","0.53558096","517263678.363894","29687507189.43954500"
"2024-05-23 00:00:00 UTC+0","0.52815767","996125604.757541","29276030670.56989700"
"2024-05-22 00:00:00 UTC+0","0.52654893","531695119.071816","29112337757.11671400"
"2024-05-21 00:00:00 UTC+0","0.53697277","965139580.993757","29688661225.74559800"
"2024-05-20 00:00:00 UTC+0","0.53737620","721756470.170598","29710966245.58588000"
"2024-05-19 00:00:00 UTC+0","0.50966041","227839106.745848","28178589466.87756300"
"2024-05-18 00:00:00 UTC+0","0.52129057","206942326.659634","28821608544.45842000"
"2024-05-17 00:00:00 UTC+0","0.52380952","458782727.949345","28960878982.38576000"
"2024-05-16 00:00:00 UTC+0","0.51577638","510642801.604816","28516734977.82052200"
"2024-05-15 00:00:00 UTC+0","0.51899984","478231853.276415","28731403822.14613700"
"2024-05-14 00:00:00 UTC+0","0.49987889","497983410.916958","27672883434.53640700"
"2024-05-13 00:00:00 UTC+0","0.50459265","524247515.741041","27933833367.51143000"
"2024-05-12 00:00:00 UTC+0","0.49915187","175291827.644283","27632636406.38723800"
"2024-05-11 00:00:00 UTC+0","0.50613719","226570126.905615","28019338107.77229000"
"2024-05-10 00:00:00 UTC+0","0.50262358","590035877.095324","27824827664.27672200"
"2024-05-09 00:00:00 UTC+0","0.52090492","522741170.503497","28836867134.08292400"
"2024-05-08 00:00:00 UTC+0","0.51717824","620333433.652736","28630561445.08544000"
"2024-05-07 00:00:00 UTC+0","0.52535521","627104516.438493","29018474937.20171700"
"2024-05-06 00:00:00 UTC+0","0.54074529","1024871647.713123","29868560045.94864300"
"2024-05-05 00:00:00 UTC+0","0.52953935","273990413.060580","29249589561.22814000"
"2024-05-04 00:00:00 UTC+0","0.53024639","358517466.313230","29288643399.74114000"
"2024-05-03 00:00:00 UTC+0","0.53185337","644487045.449137","29377406489.63538000"
"2024-05-02 00:00:00 UTC+0","0.51855935","661835908.832198","28643099353.40077200"
"2024-05-01 00:00:00 UTC+0","0.51693209","999439791.711019","28616934778.48229600"
"2024-04-30 00:00:00 UTC+0","0.49985293","771083490.404387","27609833291.98276500"
"2024-04-29 00:00:00 UTC+0","0.51529134","645571283.336250","28462587665.95480300"
"2024-04-28 00:00:00 UTC+0","0.50980711","305405671.202462","28159661448.94734200"
"2024-04-27 00:00:00 UTC+0","0.51799319","418812335.918385","28611826628.92813500"
"2024-04-26 00:00:00 UTC+0","0.52622842","663271454.701546","29066707420.89465700"
"2024-04-25 00:00:00 UTC+0","0.52553187","727235986.320207","28972121909.37644000"
"2024-04-24 00:00:00 UTC+0","0.52684962","809421155.765421","29044768569.43844600"
"2024-04-23 00:00:00 UTC+0","0.54520801","772710456.617334","30056850727.25145300"
"2024-04-22 00:00:00 UTC+0","0.55698285","989387175.996626","30705987613.98631700"
"2024-04-21 00:00:00 UTC+0","0.52465252","469544061.728649","28923644459.06612400"
"2024-04-20 00:00:00 UTC+0","0.52919028","641167815.108119","29173806976.07877300"
"2024-04-19 00:00:00 UTC+0","0.50426108","1131818081.842043","27799481818.75294000"
"2024-04-18 00:00:00 UTC+0","0.50261237","786601846.808732","27708589980.62238700"
"2024-04-17 00:00:00 UTC+0","0.49513313","979477959.783818","27291686376.86732000"
"2024-04-16 00:00:00 UTC+0","0.49650403","1040466989.765344","27367250169.94697600"
"2024-04-15 00:00:00 UTC+0","0.49791561","1321064855.946799","27445056148.82514000"
"2024-04-14 00:00:00 UTC+0","0.50472371","1652829706.048174","27820318186.30704000"
"2024-04-13 00:00:00 UTC+0","0.48248016","2106921166.480237","26594255910.70569200"
"2024-04-12 00:00:00 UTC+0","0.54906165","1597449855.549374","30264220540.93093500"
"2024-04-11 00:00:00 UTC+0","0.60883734","695418887.613996","33517439211.09910000"
"2024-04-10 00:00:00 UTC+0","0.61729706","1028034300.274758","33983159812.67467000"
"2024-04-09 00:00:00 UTC+0","0.61322563","1283390410.255531","33759020881.54387700"
"2024-04-08 00:00:00 UTC+0","0.61561269","1039511050.250430","33890432586.70264400"
"2024-04-07 00:00:00 UTC+0","0.59438950","456791831.168211","32722063124.30309000"
"2024-04-06 00:00:00 UTC+0","0.59318529","411193130.584232","32655769380.50964000"
"2024-04-05 00:00:00 UTC+0","0.58776859","881096650.684101","32357571438.31045500"
"2024-04-04 00:00:00 UTC+0","0.59369918","1281580220.525210","32684059697.65352200"
"2024-04-03 00:00:00 UTC+0","0.57533607","985007633.324032","31610344521.41968000"
"2024-04-02 00:00:00 UTC+0","0.58577294","1328559346.054417","32183771087.76861200"
"2024-04-01 00:00:00 UTC+0","0.61239138","1069048221.164033","33646252198.42902800"
"2024-03-31 00:00:00 UTC+0","0.62939252","419908400.612439","34580335549.49360000"
"2024-03-30 00:00:00 UTC+0","0.62147786","598286123.976862","34145485020.04321700"
"2024-03-29 00:00:00 UTC+0","0.63088893","1094586601.170672","34662552068.29224000"
"2024-03-28 00:00:00 UTC+0","0.62489842","1078456470.531314","34297075956.10898200"
"2024-03-27 00:00:00 UTC+0","0.61043725","1145007224.047341","33503385469.30215000"
"2024-03-26 00:00:00 UTC+0","0.63228367","1016037514.239832","34702409997.61768000"
"2024-03-25 00:00:00 UTC+0","0.63986649","1232364980.287062","35118587418.32369000"
"2024-03-24 00:00:00 UTC+0","0.63302318","684276396.407153","34742997237.02611500"
"2024-03-23 00:00:00 UTC+0","0.61758570","631647787.691004","33895722969.22350300"
"2024-03-22 00:00:00 UTC+0","0.61187286","1178900159.157967","33582178269.92304600"
"2024-03-21 00:00:00 UTC+0","0.64067124","1605508688.638632","35162755314.01252000"
"2024-03-20 00:00:00 UTC+0","0.61270488","1640685095.925921","33627842910.31213400"
"2024-03-19 00:00:00 UTC+0","0.58517921","2165299315.104459","32067931528.58601000"
"2024-03-18 00:00:00 UTC+0","0.64746847","1630947184.718398","35481394420.45703000"
"2024-03-17 00:00:00 UTC+0","0.61829168","1038920778.526586","33882500971.49925000"
"2024-03-16 00:00:00 UTC+0","0.60358423","1277512592.419940","33076529860.90939700"
"2024-03-15 00:00:00 UTC+0","0.63473221","2208522269.607569","34783445279.91846500"
"2024-03-14 00:00:00 UTC+0","0.66978282","1983158634.299582","36704225479.85548000"
"2024-03-13 00:00:00 UTC+0","0.68908982","1408248203.232796","37718589377.13602000"
"2024-03-12 00:00:00 UTC+0","0.68772291","2513359191.274678","37643769202.93371000"
"2024-03-11 00:00:00 UTC+0","0.71714581","3771323759.989333","39254285260.05739000"
"2024-03-10 00:00:00 UTC+0","0.60866150","846745525.668541","33316198637.75645400"
"2024-03-09 00:00:00 UTC+0","0.62190989","934003255.927195","34041373129.41313600"
"2024-03-08 00:00:00 UTC+0","0.62180846","1242719584.902994","34035821170.34152600"
"2024-03-07 00:00:00 UTC+0","0.62885553","1480564781.071889","34375778427.84610000"
"2024-03-06 00:00:00 UTC+0","0.61240740","1677454969.910536","33476657097.44655600"
"2024-03-05 00:00:00 UTC+0","0.59407842","2956264317.974988","32474721073.95682000"
"2024-03-04 00:00:00 UTC+0","0.64918136","2248025318.210990","35486870239.62588000"
"2024-03-03 00:00:00 UTC+0","0.62658094","1195295967.068028","34251439957.82749000"
"2024-03-02 00:00:00 UTC+0","0.64471579","1762986649.616852","35242764057.81428500"
"2024-03-01 00:00:00 UTC+0","0.60225319","1013448858.971789","32921587439.03994000"
"2024-02-29 00:00:00 UTC+0","0.58725826","2219576011.948024","32060922773.08781400"
"2024-02-28 00:00:00 UTC+0","0.57643766","1857781747.775506","31470180411.06061000"
"2024-02-27 00:00:00 UTC+0","0.58799232","1460806867.904288","32100998305.58347000"
"2024-02-26 00:00:00 UTC+0","0.55078479","671855429.789345","30069680830.74986600"
"2024-02-25 00:00:00 UTC+0","0.54247079","311218196.337305","29615784297.05766000"
"2024-02-24 00:00:00 UTC+0","0.54506074","331803393.362859","29757180821.69791800"
"2024-02-23 00:00:00 UTC+0","0.53518945","659742016.506354","29218265062.24538400"
"2024-02-22 00:00:00 UTC+0","0.54102408","605167413.320849","29517515348.68063400"
"2024-02-21 00:00:00 UTC+0","0.54862897","743426542.762809","29932427937.40142400"
"2024-02-20 00:00:00 UTC+0","0.56360540","1085187732.062481","30749520737.57380000"
"2024-02-19 00:00:00 UTC+0","0.56333810","588367105.392915","30734937006.62998000"
"2024-02-18 00:00:00 UTC+0","0.55695747","317493527.653585","30386818755.41610000"
"2024-02-17 00:00:00 UTC+0","0.54991091","399441364.513122","30002368600.87357000"
"2024-02-16 00:00:00 UTC+0","0.56552701","839135503.493783","30854360887.00365400"
"2024-02-15 00:00:00 UTC+0","0.56266300","992547064.222013","30698104689.51446000"
"2024-02-14 00:00:00 UTC+0","0.53855624","659771803.522856","29355068610.26489000"
"2024-02-13 00:00:00 UTC+0","0.52484315","595177645.667518","28607609252.01213000"
"2024-02-12 00:00:00 UTC+0","0.53186177","585946891.795584","28990173289.11707700"
"2024-02-11 00:00:00 UTC+0","0.52588574","390604452.573415","28664437647.63467400"
"2024-02-10 00:00:00 UTC+0","0.52371835","263533534.168661","28546299739.44415300"
"2024-02-09 00:00:00 UTC+0","0.52554777","596730365.081256","28646016020.37865000"
"2024-02-08 00:00:00 UTC+0","0.51437836","509576375.556956","28000798405.59230800"
"2024-02-07 00:00:00 UTC+0","0.51374022","518511071.484532","27966060893.98698400"
"2024-02-06 00:00:00 UTC+0","0.50502797","430974206.813136","27491798963.99619300"
"2024-02-05 00:00:00 UTC+0","0.50616884","488241364.069128","27553903412.38324000"
"2024-02-04 00:00:00 UTC+0","0.50317437","277508105.447838","27390896009.24893000"
"2024-02-03 00:00:00 UTC+0","0.51892298","465660740.170140","28248190545.85263000"
"2024-02-02 00:00:00 UTC+0","0.50975429","549532452.737480","27749082013.85994300"
"2024-02-01 00:00:00 UTC+0","0.50577272","514390342.686083","27532340121.46130800"
"2024-01-31 00:00:00 UTC+0","0.50309913","726215419.397220","27355770061.50063300"
"2024-01-30 00:00:00 UTC+0","0.51096555","1040143010.949000","27783502562.10800600"
"2024-01-29 00:00:00 UTC+0","0.53516434","514130938.883565","29099299764.85425600"
"2024-01-28 00:00:00 UTC+0","0.52420496","259323629.094833","28503388824.80945600"
"2024-01-27 00:00:00 UTC+0","0.53046910","228611912.714775","28843998703.81918700"
"2024-01-26 00:00:00 UTC+0","0.53227052","584966060.475658","28941950184.01365700"
"2024-01-25 00:00:00 UTC+0","0.51355637","439104312.193833","27924377073.62489700"
"2024-01-24 00:00:00 UTC+0","0.51832672","471283386.528495","28165789860.35885200"
"2024-01-23 00:00:00 UTC+0","0.51734914","712642988.838649","28112668174.20576500"
"2024-01-22 00:00:00 UTC+0","0.52649665","617081682.131573","28609742192.28795600"
"2024-01-21 00:00:00 UTC+0","0.54649518","236607438.009070","29696459188.74615500"
"2024-01-20 00:00:00 UTC+0","0.55397878","380507927.594773","30103116864.91630000"
"2024-01-19 00:00:00 UTC+0","0.54440237","719531298.336748","29582736368.45802700"
"2024-01-18 00:00:00 UTC+0","0.55185344","578541175.642418","29987626525.68129300"
"2024-01-17 00:00:00 UTC+0","0.56785958","488494392.903728","30857397299.39744000"
"2024-01-16 00:00:00 UTC+0","0.57620996","483604612.946649","30915258383.59762200"
"2024-01-15 00:00:00 UTC+0","0.57589989","515255884.033039","30898621998.24890000"
"2024-01-14 00:00:00 UTC+0","0.57743253","366721863.952152","30980852612.12877300"
"2024-01-13 00:00:00 UTC+0","0.57497285","320230039.436311","30848883807.21393200"
"2024-01-12 00:00:00 UTC+0","0.57082289","808791953.407386","30626227318.42977000"
"2024-01-11 00:00:00 UTC+0","0.60199567","1034075323.357298","32298732900.67459500"
"2024-01-10 00:00:00 UTC+0","0.59961989","1212729345.228288","32171265743.97065000"
"2024-01-09 00:00:00 UTC+0","0.56632280","974090949.600793","30384784874.14112500"
"2024-01-08 00:00:00 UTC+0","0.57780979","1047626856.576494","31001093429.85185600"
"2024-01-07 00:00:00 UTC+0","0.55149935","408693451.709566","29589465598.42873800"
"2024-01-06 00:00:00 UTC+0","0.56826602","431141749.331615","30489044088.43738600"
"2024-01-05 00:00:00 UTC+0","0.57629721","843949338.991439","30919939685.68659200"
"2024-01-04 00:00:00 UTC+0","0.58810562","790888652.762163","31553493168.55330700"
"2024-01-03 00:00:00 UTC+0","0.58242006","1848613108.180046","31248447572.96788000"
"2024-01-02 00:00:00 UTC+0","0.62622941","697167683.408342","33598940366.55133000"
"2024-01-01 00:00:00 UTC+0","0.62978843","308002066.246101","33789891481.32792000"
"2023-12-31 00:00:00 UTC+0","0.61435508","293173458.730377","32961849368.39017000"
"2023-12-30 00:00:00 UTC+0","0.62161511","311834773.683368","33351370248.85116200"
"2023-12-29 00:00:00 UTC+0","0.62275966","594065485.972231","33412778492.07742300"
"2023-12-28 00:00:00 UTC+0","0.63456771","878903565.862034","34046312810.90213000"
"2023-12-27 00:00:00 UTC+0","0.63486098","699225786.425572","34062047958.96706800"
"2023-12-26 00:00:00 UTC+0","0.62234564","770961393.886900","33390564998.11150000"
"2023-12-25 00:00:00 UTC+0","0.64600213","836066429.799390","34659801022.98118000"
"2023-12-24 00:00:00 UTC+0","0.61385405","508378813.110690","32934967651.34547400"
"2023-12-23 00:00:00 UTC+0","0.62024503","355791696.804865","33277861383.50029800"
"2023-12-22 00:00:00 UTC+0","0.62562769","661060994.178314","33566656227.81287400"
"2023-12-21 00:00:00 UTC+0","0.62346691","571827586.110810","33450724552.10305400"
"2023-12-20 00:00:00 UTC+0","0.61685987","648560879.326688","33096238438.02229300"
"2023-12-19 00:00:00 UTC+0","0.60483451","572254634.422757","32451044819.96917300"
"2023-12-18 00:00:00 UTC+0","0.61236651","780126883.083971","32855157238.55023000"
"2023-12-17 00:00:00 UTC+0","0.61015031","350008931.271053","32736251794.09979000"
"2023-12-16 00:00:00 UTC+0","0.61956800","349925409.615798","33241537299.50248000"
"2023-12-15 00:00:00 UTC+0","0.61593559","648765411.129680","33046648316.58239700"
"2023-12-14 00:00:00 UTC+0","0.63188457","739055500.822722","33902354957.26490800"
"2023-12-13 00:00:00 UTC+0","0.62804134","739756308.980022","33696154981.09949000"
"2023-12-12 00:00:00 UTC+0","0.61910106","728702827.679577","33216484189.67133300"
"2023-12-11 00:00:00 UTC+0","0.62008728","1136519409.362287","33269397594.29795000"
"2023-12-10 00:00:00 UTC+0","0.66139578","571543872.010387","35485713172.89957000"
"2023-12-09 00:00:00 UTC+0","0.65852431","1029766313.227186","35331650921.53490400"
"2023-12-08 00:00:00 UTC+0","0.67357711","889991028.615070","36139275414.11584500"
"2023-12-07 00:00:00 UTC+0","0.64351635","880081659.128058","34526432240.94794000"
"2023-12-06 00:00:00 UTC+0","0.64178923","974853417.580720","34433767614.17387000"
"2023-12-05 00:00:00 UTC+0","0.62176644","678839116.610166","33359489250.50745400"
"2023-12-04 00:00:00 UTC+0","0.62419945","989679633.561613","33490027068.74598700"
"2023-12-03 00:00:00 UTC+0","0.62363260","441946091.960142","33459614055.63842400"
"2023-12-02 00:00:00 UTC+0","0.62038706","285910793.375620","33285481619.32028600"
"2023-12-01 00:00:00 UTC+0","0.61324042","434571255.169292","32902045070.65189700"
"2023-11-30 00:00:00 UTC+0","0.60639224","447866715.801289","32534620966.27527000"
"2023-11-29 00:00:00 UTC+0","0.60956354","469365648.235437","32704770131.78529000"
"2023-11-28 00:00:00 UTC+0","0.61086940","503589383.400880","32774833149.50461000"
"2023-11-27 00:00:00 UTC+0","0.60351110","498182202.276989","32380040019.37082300"
"2023-11-26 00:00:00 UTC+0","0.61655834","515604047.405131","33080060440.84935000"
"2023-11-25 00:00:00 UTC+0","0.62239118","251681591.342025","33393008568.37941000"
"2023-11-24 00:00:00 UTC+0","0.62203898","553744954.301470","33374112081.86796000"
"2023-11-23 00:00:00 UTC+0","0.62032401","549039467.808446","33282098958.88843500"
"2023-11-22 00:00:00 UTC+0","0.61199016","628405888.088381","32834964817.18745800"
"2023-11-21 00:00:00 UTC+0","0.58130089","836472298.806740","31188400738.53938300"
"2023-11-20 00:00:00 UTC+0","0.61238970","582157526.445393","32856401226.16869000"
"2023-11-19 00:00:00 UTC+0","0.62753004","424788517.569847","33668722496.70169400"
"2023-11-18 00:00:00 UTC+0","0.61113251","389376745.203751","32788949638.05495000"
"2023-11-17 00:00:00 UTC+0","0.61388493","724576171.064181","32936624399.53786500"
"2023-11-16 00:00:00 UTC+0","0.61209451","777367809.670411","32840563710.57480000"
"2023-11-15 00:00:00 UTC+0","0.64842367","707810462.634866","34789723675.67056000"
"2023-11-14 00:00:00 UTC+0","0.62919858","1062862972.079992","33758244280.31748600"
