"Date","Price","Volume","Market_cap"
"2024-06-02 00:00:00 UTC+0","0.15716417","285331618.425969","22718048425.47829000"
"2024-06-01 00:00:00 UTC+0","0.16011493","277747126.593401","23142433260.29209000"
"2024-05-31 00:00:00 UTC+0","0.15917949","485088431.875097","23005077470.26086800"
"2024-05-30 00:00:00 UTC+0","0.15954831","767538176.212829","23056282243.62255000"
"2024-05-29 00:00:00 UTC+0","0.16365507","798949816.465085","23647516120.89384000"
"2024-05-28 00:00:00 UTC+0","0.16515899","741225965.632189","23862584497.51510600"
"2024-05-27 00:00:00 UTC+0","0.16913004","716960485.007579","24434026224.51619700"
"2024-05-26 00:00:00 UTC+0","0.16620569","671866030.496292","24009286715.24843600"
"2024-05-25 00:00:00 UTC+0","0.17431898","823249744.049871","25178965914.65655000"
"2024-05-24 00:00:00 UTC+0","0.16380931","1690663830.262203","23658722666.31199000"
"2024-05-23 00:00:00 UTC+0","0.15965591","1225991661.944129","23056679450.31591800"
"2024-05-22 00:00:00 UTC+0","0.16620554","1034270549.922834","24000320514.48409700"
"2024-05-21 00:00:00 UTC+0","0.17046655","1625415078.979204","24613324988.57666000"
"2024-05-20 00:00:00 UTC+0","0.16558155","885662712.748254","23905761636.83020000"
"2024-05-19 00:00:00 UTC+0","0.14911759","381660569.007756","21526788811.68779400"
"2024-05-18 00:00:00 UTC+0","0.15308770","384710879.548826","22097855228.71820400"
"2024-05-17 00:00:00 UTC+0","0.15560024","599239525.229760","22458432773.81017300"
"2024-05-16 00:00:00 UTC+0","0.14964173","719843809.694762","21596389137.07270400"
"2024-05-15 00:00:00 UTC+0","0.15590023","929861986.010314","22497508243.62532800"
"2024-05-14 00:00:00 UTC+0","0.14536635","983027663.121877","20975414111.23478700"
"2024-05-13 00:00:00 UTC+0","0.14839158","1233729180.981436","21409923401.47052800"
"2024-05-12 00:00:00 UTC+0","0.14112834","347554849.828070","20360128097.16769400"
"2024-05-11 00:00:00 UTC+0","0.14300612","316668655.806872","20629126597.22098000"
"2024-05-10 00:00:00 UTC+0","0.14408099","643319576.892474","20782217194.03489000"
"2024-05-09 00:00:00 UTC+0","0.15204592","675014208.674425","21929020570.95163700"
"2024-05-08 00:00:00 UTC+0","0.14311516","711712335.467765","20639011900.02349000"
"2024-05-07 00:00:00 UTC+0","0.15046537","702202577.190779","21696951998.83608200"
