"Date","Price","Volume","Market_cap"
"2024-07-25 00:00:00 UTC+0","0.99969971","689724860.081263","114366825815.52916000"
"2024-07-24 00:00:00 UTC+0","0.99998126","646257293.116385","114417551205.51035000"
"2024-07-23 00:00:00 UTC+0","1.00000208","819772179.468945","114240453588.01303000"
"2024-07-22 00:00:00 UTC+0","1.00027749","644449269.746457","114116361779.57608000"
"2024-07-21 00:00:00 UTC+0","1.00000221","410248810.612870","114039456577.69194000"
"2024-07-20 00:00:00 UTC+0","1.00030022","461515407.628364","113911793194.89256000"
"2024-07-19 00:00:00 UTC+0","1.00073799","717691849.276195","113780136310.35603000"
"2024-07-18 00:00:00 UTC+0","0.99979339","551722168.372624","113608939033.30885000"
"2024-07-17 00:00:00 UTC+0","1.00010343","834291117.161506","113236265571.07649000"
"2024-07-16 00:00:00 UTC+0","1.00055384","936302042.967279","112924687858.07271000"
"2024-07-15 00:00:00 UTC+0","1.00055735","870386950.014279","112599647931.55305000"
"2024-07-14 00:00:00 UTC+0","1.00037876","220362866.290702","112509523845.46048000"
"2024-07-13 00:00:00 UTC+0","1.00037657","182345354.551975","112459693368.64447000"
"2024-07-12 00:00:00 UTC+0","1.00083993","535286615.552467","112463283969.75548000"
"2024-07-11 00:00:00 UTC+0","0.99988363","507989001.008210","112246744845.12521000"
"2024-07-10 00:00:00 UTC+0","0.99995130","416665454.152817","112254341736.52730000"
"2024-07-09 00:00:00 UTC+0","0.99983428","413184071.218416","112188555789.77492000"
"2024-07-08 00:00:00 UTC+0","0.99948437","627235165.851959","112151924139.37225000"
"2024-07-07 00:00:00 UTC+0","0.99976513","231225398.188643","112197431695.85290000"
"2024-07-06 00:00:00 UTC+0","1.00012845","262584074.628568","112238205311.09023000"
"2024-07-05 00:00:00 UTC+0","1.00015030","894502354.432260","112318169855.48335000"
"2024-07-04 00:00:00 UTC+0","0.99988104","536767552.596082","112471494388.63927000"
"2024-07-03 00:00:00 UTC+0","0.99897942","607024920.582872","112529809938.88940000"
"2024-07-02 00:00:00 UTC+0","0.99854182","641740288.124186","112622871496.76680000"
"2024-07-01 00:00:00 UTC+0","0.99898199","710517389.068739","112760081970.16208000"
"2024-06-30 00:00:00 UTC+0","0.99836400","590660311.476502","112726769717.52678000"
"2024-06-29 00:00:00 UTC+0","0.99847053","898223304.745190","112638950900.31024000"
"2024-06-28 00:00:00 UTC+0","0.99833951","1053643484.794173","112620467741.42824000"
"2024-06-27 00:00:00 UTC+0","0.99849008","1210235432.466192","112610492954.93013000"
"2024-06-26 00:00:00 UTC+0","0.99928042","1005014175.294676","112748436537.09178000"
"2024-06-25 00:00:00 UTC+0","0.99984369","892618394.152220","112916711499.14606000"
"2024-06-24 00:00:00 UTC+0","0.99940079","752150866.362703","112883582430.97476000"
"2024-06-23 00:00:00 UTC+0","0.99934550","275014426.143564","112867771512.08160000"
"2024-06-22 00:00:00 UTC+0","0.99919036","303900110.348394","112850249878.60683000"
"2024-06-21 00:00:00 UTC+0","0.99956570","656675992.287059","112842325961.52103000"
"2024-06-20 00:00:00 UTC+0","0.99928312","650008156.602584","112810425267.83829000"
"2024-06-19 00:00:00 UTC+0","0.99970233","547441560.972288","112572557156.29010000"
"2024-06-18 00:00:00 UTC+0","0.99960623","730811031.869645","112508268727.02667000"
"2024-06-17 00:00:00 UTC+0","0.99948748","645142919.155820","112503203262.81061000"
