"Date","Price","Volume"
"2024-09-24 19:48:00 UTC+0","63937.52710547","13440301891.548313"
"2024-09-24 19:47:00 UTC+0","63918.64158064","13434315303.138107"
"2024-09-24 19:46:00 UTC+0","63895.60759642","13464420841.579006"
"2024-09-24 19:45:00 UTC+0","63898.69626143","13464847266.434477"
"2024-09-24 19:44:00 UTC+0","63911.73689226","13464118829.952627"
"2024-09-24 19:43:00 UTC+0","63908.41126886","13464101086.137150"
"2024-09-24 19:42:00 UTC+0","63909.59728574","13456408219.741209"
"2024-09-24 19:41:00 UTC+0","63913.42224109","13471722085.335503"
"2024-09-24 19:40:00 UTC+0","63849.56211447","13462801280.855894"
"2024-09-24 19:39:00 UTC+0","63841.55809427","13461047228.231972"
"2024-09-24 19:38:00 UTC+0","63834.17063935","13449287467.504717"
"2024-09-24 19:37:00 UTC+0","63823.95811581","13338285715.787796"
"2024-09-24 19:36:00 UTC+0","63805.38235080","13336770976.177567"
"2024-09-24 19:35:00 UTC+0","63830.03316234","13457184458.795088"
"2024-09-24 19:34:00 UTC+0","63855.52093173","13449310158.250483"
"2024-09-24 19:33:00 UTC+0","63847.71824954","13454806000.682714"
"2024-09-24 19:32:00 UTC+0","63845.89539106","13450122147.969702"
"2024-09-24 19:31:00 UTC+0","63837.53502027","13455037579.578075"
"2024-09-24 19:30:00 UTC+0","63847.11183500","13460996120.687069"
"2024-09-24 19:29:00 UTC+0","63838.40369908","13461735469.671467"
"2024-09-24 19:28:00 UTC+0","63862.42555599","13460460145.971270"
"2024-09-24 19:27:00 UTC+0","63877.84543978","13459411873.513927"
"2024-09-24 19:26:00 UTC+0","63877.43255126","13457483661.960209"
"2024-09-24 19:25:00 UTC+0","63865.38042807","13450712001.664150"
"2024-09-24 19:24:00 UTC+0","63863.10710448","13451913163.669956"
"2024-09-24 19:23:00 UTC+0","63855.74827424","13447873816.237585"
"2024-09-24 19:22:00 UTC+0","63858.81284916","13447843484.081620"
"2024-09-24 19:21:00 UTC+0","63839.63503155","13445286539.607834"
"2024-09-24 19:20:00 UTC+0","63839.00431693","13446384118.531218"
"2024-09-24 19:19:00 UTC+0","63823.89958110","13449381715.010840"
"2024-09-24 19:18:00 UTC+0","63838.12612414","13448632704.653017"
"2024-09-24 19:17:00 UTC+0","63866.67785258","13443937031.604929"
"2024-09-24 19:16:00 UTC+0","63868.07320846","13438411808.616713"
"2024-09-24 19:15:00 UTC+0","63845.30087374","13437811917.196667"
"2024-09-24 19:14:00 UTC+0","63848.18391420","13438317596.763432"
"2024-09-24 19:13:00 UTC+0","63841.03539275","13436848471.472265"
"2024-09-24 19:12:00 UTC+0","63844.41386400","13438785543.842308"
"2024-09-24 19:11:00 UTC+0","63843.76426170","13436559620.058802"
"2024-09-24 19:10:00 UTC+0","63855.13165535","13422291262.760223"
"2024-09-24 19:09:00 UTC+0","63834.39426086","13431505580.790312"
"2024-09-24 19:08:00 UTC+0","63804.78661097","13427880306.437548"
"2024-09-24 19:07:00 UTC+0","63790.89707855","13416722452.455425"
"2024-09-24 19:06:00 UTC+0","63769.10961112","13298096989.025637"
"2024-09-24 19:05:00 UTC+0","63740.29490371","13302503867.256477"
"2024-09-24 19:04:00 UTC+0","63737.13787040","13416049410.352951"
"2024-09-24 19:03:00 UTC+0","63759.68774719","13419040957.509987"
"2024-09-24 19:02:00 UTC+0","63767.54092256","13420170119.930750"
"2024-09-24 19:01:00 UTC+0","63779.57078775","12960567324.903982"
"2024-09-24 19:00:00 UTC+0","63785.49890501","12780306348.471920"
"2024-09-24 18:59:00 UTC+0","63799.20147287","12960433021.599867"
"2024-09-24 18:58:00 UTC+0","63805.45898887","12958144721.595135"
"2024-09-24 18:57:00 UTC+0","63793.04595049","12958394763.812197"
"2024-09-24 18:56:00 UTC+0","63782.82020991","12773608124.962793"
"2024-09-24 18:55:00 UTC+0","63796.83790699","12957879590.173490"
