"Date","Price","Volume","Market_cap"
"2024-08-21 00:00:00 UTC+0","0.99970485","1153109052.555316","34817886569.65739000"
"2024-08-20 00:00:00 UTC+0","0.99996689","1106209017.346989","34783109360.18831000"
"2024-08-19 00:00:00 UTC+0","0.99998178","1029007491.449775","34920102091.82722000"
"2024-08-18 00:00:00 UTC+0","1.00034125","302944224.408120","34828253971.26260000"
"2024-08-17 00:00:00 UTC+0","1.00037020","259694132.914674","34839365198.77730000"
"2024-08-16 00:00:00 UTC+0","0.99935297","1037521750.557686","34810703308.51259000"
"2024-08-15 00:00:00 UTC+0","1.00053941","1415373179.700622","34565561606.84228500"
"2024-08-14 00:00:00 UTC+0","1.00008298","1323606649.104765","34483749780.01672000"
"2024-08-13 00:00:00 UTC+0","0.99996867","970656789.747565","34492269998.30226000"
"2024-08-12 00:00:00 UTC+0","1.00009143","1255623461.720026","34502405188.49149000"
"2024-08-11 00:00:00 UTC+0","1.00019967","463083320.959569","34463117534.26417500"
"2024-08-10 00:00:00 UTC+0","1.00031614","258730228.556934","34475171274.25414000"
"2024-08-09 00:00:00 UTC+0","1.00056545","847700514.781913","34500404486.83891000"
"2024-08-08 00:00:00 UTC+0","1.00002127","1096606661.721362","34512136162.15648000"
"2024-08-07 00:00:00 UTC+0","1.00000801","1582877815.427819","34511710936.00114000"
"2024-08-06 00:00:00 UTC+0","1.00022384","1953231193.216514","34249158728.81845000"
"2024-08-05 00:00:00 UTC+0","1.00061908","3775169996.038852","33780209221.44553800"
"2024-08-04 00:00:00 UTC+0","1.00108095","882201103.437998","33310037073.98826600"
"2024-08-03 00:00:00 UTC+0","1.00102115","664762393.383087","33159009486.27294500"
"2024-08-02 00:00:00 UTC+0","1.00088800","1308589832.679520","33038074872.15078700"
"2024-08-01 00:00:00 UTC+0","1.00010358","1309470770.614238","32972764217.17710000"
"2024-07-31 00:00:00 UTC+0","1.00013364","1047529735.736540","33357592857.05037300"
"2024-07-30 00:00:00 UTC+0","0.99988794","936779010.015910","33459298997.23812500"
"2024-07-29 00:00:00 UTC+0","0.99990326","1049595829.133476","33825805224.96495000"
"2024-07-28 00:00:00 UTC+0","0.99991078","276613582.623197","34148986908.49162700"
"2024-07-27 00:00:00 UTC+0","0.99997459","556236935.743890","34160315472.51729600"
"2024-07-26 00:00:00 UTC+0","1.00006358","1128581754.219473","34127235045.12960000"
